Call_Number,Title,Last_Name,First_Name,Year
"N6537.S4A3","Some went this way; a forty year pilgrimage among artists, bookmen and printers, by Ralph Fletcher Seymour","Seymour","Ralph Fletcher","1945"
"N6537.S5258A4 1997","Art from 1960 to the present","Shaynes","Boris","1997"
"N6537.S539A4 1999","Hollis Sigler's breast cancer journal / with essays by Susan M. Love and James Yood","Sigler","Hollis","1999"
"N6537.S5463A4 1997","Henry Simon : 1901-1995","Seaton","Liz","1997"
"N6537.S556A2 1999","Two looks to home : the art of Tommy Simpson","Simpson","Tommy","1999"
"N6537.S757A4 1998","John Storrs / [by Robert Henry Adams]","Storrs","John","1998"
"N6537.T67D86 1997","Joyce Treiman","Duncan","Michael","1997"
"N6537.W44W48 1994","Reaches of the heart : a biography of Charles White","White","Frances Barrett","1994"
"N6537.W547A4 1998","Anne Wilson : voices","Wilson","Anne","1998"
"N6537.W57A4 1991","Karl Wirsum : a retrospective exhibition, January 12 to February 17, 1991","Wirsum","Karl","1991"
"N6537.Y58A2 1997","To life","Yochim","Louise Dunn","1997"
"N6537.Y6D47 2001","Traveling the rainbow : the life and art of Joseph E. Yoakum","DePasse","Derrel B.","2001"
"N6538.A83O27 1994","Object lessons : six Asian American artists from Chicago","","","1994"
"N6538.H58A167 1989","1989 Hispanic festival juried art exhibition : [catalog] ; Museum of Science and Industry ... September 5, 1989","","","1989"
"N6538.H58A34 1988","Adivina! : Latino Chicago expressions : April 22, 1988-July 10, 1988","","","1988"
"N6538.H58B43 1987","Hispanic art in the United States : thirty contemporary painters and sculptors","Beardsley","John","1987"
"N6538.H58C37 2002","Carlos Cortéz Koyokuikatl : soapbox artist & poet","","","2002"
"N6538.H58C54 1992","Chicago latino : 14th August - 6th September / in association with Near Northwest Arts Council, Chicago, Illinois","","","1992"
"N6538.J4G6 1978","Golden anniversary exhibition 1928-1978 American Jewish Art Club ; ccosponsored by the Maurice Spertus Museum of Judaica","","","1978"
"N6538.J4Y64 1989","The harvest of freedom : Jewish artists in America, 1930-1980s","Yochim","Louise Dunn","1989"
"N6538.L5T9 1976","Twenty Lithuanian artists from the state of Illinois : bicentennial art exhibit / presented by the Balzekas Musuem of Lithuanian Culture","","","1976"
"N6538.N5 R83 2011","30 Americans: Rubell Family Collection","Rubell Family Collection","","2011"
"N6538.N5A438 1987","American visions : Afro-American art, 1986 / edited by Carroll Greene, Jr","","","1987"
"N6538.N5A7","New perspectives in black art. Oakland Museum Art Division, Kaiser Center Gallery, October 5-October 26, 1968","","","1970"
"N6538.N5A76 1999","African Americans in art : selections from the Art Institute of Chicago","Art Institute of Chicago","","1999"
"N6538.N5A78 2003","Art of Culture: Evolution of Visual Arts by African-American Artists - The Last Fifty Years","Woodtor","Patrick","2003"
"N6538.N5A8","Black Dimensions in Contemporary American Art","Atkinson","J. Edward","1971"
"N6538.N5B525 1989","Black art ancestral legacy : the African impulse in African-American art","Dallas Museum of Art","","1989"
"N6538.N5C42","Afro-American artists; a bio-bibliographical directory","Cederholm","Theresa D","1973"
"N6538.N5D48 1990","Black fusion : [exhibition] January 2-26, 1991","Deutsch","Ellen Roth","1991"
"N6538.N5D6 1960","American Negro art","Dover","Cedric","1960"
"N6538.N5I53 1993","Images: An Exhibition of Contemporary Art by African American Women Artists","","","1993"
"N6538.N5I77 1995","Issues of Identity: a Sapphire & Crystals exhibition of art by 20 African-American women artists, October 27-November 25, 1995","","","1995"
"N6538.N5K44 1994","The Harmon and Harriet Kelley Collection of African American Art: Exhibition","Kelley","Harmon","1994"
"N6538.N5L38 1990","African American art and artists","Lewis","Samella S.","1990"
"N6538.N5L6","The Negro in art : a pictorial record of the Negro artist and of the Negro theme in art","Locke","Alain LeRoy","1940"
"N6538.N5M35 1989","African-American Artists, 1880-1987. Selections from the Evans-Tribbs Collection","McElroy","Guy C.","1989"
"N6538.N5N34 1985","Sharing traditions : five Black artists in nineteenth-century America : from the collections of the National Museum of American Art","National Museum of American Art","","1985"
"N6538.N5P4","Problems of the black artist","Perkins","Marion","1971"
"N6538.N5P68 1999","To conserve a legacy : American art from historically Black colleges and universities","Powell","Richard J.","1999"
"N6538.N5R47 1999","Re/righting history : counternarratives by contemporary African-American artists : Katonah Museum of Art, March 14, 1999-May 16, 1999","","","1999"
"N6538.N5R49 1989","Against the odds : African-American artists and the Harmon Foundation","Reynolds","Gary A.","1989"
"N6538.N5R66 1986","Roots : a contemporary inspiration : Evanston Art Center, February 14-March 30, 1986","","","1986"
"N6538.N5S595 2012","African American Art: Harlem Renaissance, Civil Rights Era and Beyond","","","2012"
"N6538.N5T37 1996","A Shared Heritage: Art by Four African Americans","Taylor","William E.","1996"
"N6538.N5T43 1994","The Way My Mama Did, Sapphire and Crystals","","","1994"
"N6538.N5T86 1990","Two black artists of the FDR era : Marion Perkins, Frederick D. Jones","","","1990"
"N6538.N5W7 1978","WPA and the Black artist, Chicago and New York : March 22-April 23, 1978, the Chicago Public Library Cultural Center Exhibit Hall","","","1978"
"N6605.G64A4 1988","The artwork of Eladio González","González","Eladio","1988"
"N6612.S88 1990","New art from Puerto Rico = Nuevo arte de Puerto Rico","Sturges","Hollister","1990"
"N6639.S56A4 1994","Blazons : paintings and drawings 1994","Simes","Jorge","1994"
"N6758.K46 1991","Sowers of the Myth","","","1991"
"N6797.E9A4 1967","Merlyn Evans : exchange artist in residence, the School of the Art Institute of Chicago, from the Royal College of Art, London, England","Evans","Merlyn","1967"
"N6822.5.M63A4 1991","László Moholy-Nagy : [exposition] Musée Cantini Marseille, 5 juillet-15 septembre, 1991","Moholy-Nagy","László","1991"
"N6838.M6A4 1947","L. Moholy-Nagy : The Art Institute of Chicago, September 18 to October 26, 1947","Moholy-Nagy","László","1947"
"N6885.K655 1994","Korrespondenzen : vierzehn Kunstler aus Chicago und Berlin = Correspondences : fourteen artists from Berlin and Chicago","","","1994"
"N71.8.F674 1986","Forecast Public Artspace Productions proudly presents Art of the eye : an exhibition on vision","","","1986"
"N71.8.N374 1991","Art beyond sight : the eighth National Exhibit by Blind Artists, Philadelphia Museum of Art, Philadelphia, Pennsylvania, August 10-September 8, 1991","","","1991"
"N710.A54","Catalogue of painting collection","Carnegie Institute Museum of Art","","1973"
"N7153.W38A4 1999c","Hugo Weber : Elmhurst Art Museum, September 8-November 28, 1999","","",""
"N72.B56H86 2007","Human Nature: SoFA Gallery - Indiana University Bloomington","","","2007"
"N72.R4N67 1990","Spiritual visions : a liturgical exhibition : ...by Midwestern artists which explores the relationship between the visual and the spiritual","Northern Indiana Arts Association","","1990"
"N72.S6 V57 2015","Visaural: Sight, Sounds and Action","Gutfreund Cornett Art","","2015"
"N72.S6G69 2010","Producing Local Color: Art Networks in Ethnic Chicago","Grams","Diane","2010"
"N7255.P6P65 1978","Art collection of the Polish Museum of America : alphabetical listing of artists. Part I","Polish Museum of America (Chicago, Ill)","","1978"
"N7369.K56K5 1991","Jin Soo Kim","Kim","Jin Soo","1991"
"N7430.M62","Vision in motion","Moholy-Nagy","László",""
"N7432.5.A78D75 1993","Driven to create : the Anthony Petullo collection of self-taught & outsider art","","","1993"
"N7432.5.A78S76 1993","Sacred spaces and other places : a guide to grottos and sculptural environments in the Upper Midwest","Stone","Lisa","1993"
"N7433.3.A738 1982","International artists' book show : January 17 to February 15, 1981, School of the Art Institute of Chicago Library","Art Institute of Chicago.  School","","1982"
"N7433.3.M39 2011","Masters: Book Arts: Major Works by Leading Artists","Wallace","Eileen","2011"
"N7433.4.D374A4 2000","Henry Darger : art and selected writings","Darger","Henry","2000"
"N7433.4.D37M23 1996","Henry J. Darger : dans les royaumes de l'irréel","MacGregor","John M.","1996"
"N7433.4.S58F6 1990x","Jorge Simes : Fotonovela no. 3, book no. 1, Cordoba 1983, Chicago 1990","Simes","Jorge","1990"
"N7433.8.A78 2009","Art and Electronic Media","Shanken","Edward","2009"
"N7433.K8","Art has many faces; the nature of art presented visually","Kuh","Katharine","1951"
"N7475.K85 1971","The open eye; in pursuit of art","Kuh","Katharine","1971"
"N7575.A78 2001","Artists by artists : self-portraits & portraits of artists","","","2001"
"N7618 .H39 2013","Face Forward: The Art of the Self-Portrait","Printworks","","2013"
"N7629.2.F8G587 2008","Portrait of a Lady: Peintures et Photographies en France, 1870-1915","","","2008"
"N7912.Z37A4 1990","Art and the word of God = Arte e la parola di Dio : a study of Angelico Rinaldo Zarlenga, O.P.","","","1990"
"N8214.5.U6D38 1973","The American heritage history of the artists' America","Davidson","Marshall B.","1973"
"N8214.5.U6P52 1993","Place","","","1993"
"N8214.5.U6S25","The illustrated biographical encyclopedia of artists of the American West","Samuels","Peggy","1976"
"N8217.B356A78 1994","The Art of Barbie","","","1994"
"N8217.C76S94 1999c","Cows on parade in Chicago","Sullivan","Mary Ellen","1999"
"N8217.D5D5 1989","Death : [exhibition catalog]","","","1989"
"N8217.F43F47 1986","Fetish art : obsessive expressions","","","1986"
"N8219.L5I5 1988","In the dark: [exhibition : May 22 through June 26, 1988 at the Hyde Park Art Center]","","","1988"
"N8222.M39M37 1993","Masquerade","Tuchman","Maurice","1993"
"N8223.P65 1996","Supremacy of thought, submission of thought, implementation of thought, suspension of thought","Plioplys","Audrius V.","1996"
"N8237.5.P556 1996","Investigations of the thought process : art works","Plioplys","Audrius V.","1996"
"N8251.S37R56 1992","Division","Riordan","Kevin","1992"
"N8354.A48 2007","After the Revolution: Women Who Transformed Contemporary Art","Heartney","Eleanor","2007"
"N8354.C35 2011","Call and Response: from Artemisia to Frida","Koehnline Museum of Art","","2011"
"N8354.C49 1990","CWCA hangs together : Chicago Women's Caucus for Art members show, August 3-September 1, 1990","Chicago Women's Caucus for Art","","1990"
"N8354.H45 2003","Women Artists: an Illustrated History","Heller","Nancy","2003"
"N8354.I58 1996","Inside the visible : an elliptical traverse of twentieth century art in, of, and from the feminine","Zegher ed.","M. Catherine de","1996"
"N8354.N48 1977","New work : exhibition : January 4-29, 1977","","","1977"
"N8354.W66 1986","Women's sensibilities : a national juried exhibition, October 10-November 8, 1986, Minneapolis, Minnesota","","","1986"
"N85.W2 1975","Selected papers","Walley","John E.","1975"
"N8640.R527C3 1998","Catalogs","Robert Henry Adams Fine Art (Chicago IL)","","1998"
"N8640.R527C3 2000","Catalogs","Robert Henry Adams Fine Art (Chicago IL)","","2000"
"N8640.R527C3 2002","Catalogs","Robert Henry Adams Fine Art (Chicago IL)","","2002"
"N8650.L467","Leslie Hindman Auctioneers","Leslie Hindman Auctioneers","","1997"
"N8665.R53 1997","Chicago's 57th Street Art Fair : the first 50 years, 1948-1997","Richman","Julie","1997"
"N87.Y61","Perceptual growth in creativity","Yochim","Louise Dunn","1967"
"N8838.B4","Federal art in Illinois; a list of surviving large-scale works of art in public places in Illinois…created…during the 1930's","Bernstein","Barbara","1976"
"N8838.C6 1983","Tradition and innovation in New Deal art","Contreras","Belisario R.","1983"
"N8838.K46 2009","When Art Worked: The New Deal, Art, and Democracy","Kennedy","Roger G.","2009"
"N8838.M32","The New Deal for artists","McKinzie","Richard D.","1973"
"N8838.M38 1990","The Federal Art Project in Illinois, 1935-1943","Mavigliano","George J.","1990"
"N8838.O25","Art for the millions; essays from the 1930s by artists and administrators of the WPA Federal Art Project","O'Connor","Francis V","1973"
"N8838.P37 1984","Democratic vistas : post offices and public art in the New Deal","Park","Marlene","1984"
"N8844.G83 2000","Urban art Chicago : a guide to community murals, mosaics, and sculptures","Gude","Olivia.","2000"
"N8845.C4G8 1996","A Guide to the public art of Bronzeville","","","1996"
"N9.A87","Prize-winning art, Book 6: paintings, graphics, watercolors, sculpture","Harold","Margaret","1963"
"NA1123.I26G74 1965","Alfonso Iannelli : the prairie spirit in sculpture","Griggs","Joseph","1965"
"NA5235.C4L3","Chicago churches and synagogues : an architectural pilgrimage","Lane","George A.","1981"
"NA5235.C4W64 1995","Spires of faith : historic churches of Chicago","Wolf","Wayne","1995"
"NA6212.K78 1998","Frank Lloyd Wright and Midway Gardens","Kruty","Paul","1998"
"NA6233.N5R63","Rockefeller Center : architecture as theater","Balfour","Alan","1978"
"NA6233.N5R64","Rockefeller Center","Krinsky","Carol Herselle","1978"
"NA730.N38L39","Of earth and timbers made; New Mexico architecture","Lazar","Arthur","1974"
"NA735.C4A77 1990","Fragments of Chicago's past : the collection of architectural fragments at the Art Institute of Chicago","Art Institute of Chicago","","1990"
"NA735.C4T48 1994","The perfect city","Thall","Bob","1994"
"NA735.N5H37 2003","harlemworld: Metropolis as Metaphor","Studio Museum in Harlem","","2003"
"NA737.G74B48 1998","Beyond architecture : Marion Mahony and Walter Burley Griffin : America, Australia, India","","","1998"
"NA737.G75A4 1997","Two American architects in India : Walter B. Griffin and Marion M. Griffin, 1935-1937","Kruty","Paul","1997"
"NA737.W7G54 1987","Many masks : a life of Frank Lloyd Wright","Gill","Brendan","1987"
"NA7511.4.C6S55 1995","Chicago homes : facts and fables","Simmerling","Jack","1995"
"NA9030.C3 1978","Illinois % for art","Capital Development Board of the State of Ilinois","","1978"
"NB1055.H47 1989","Dai 6-kai Henri Mua Taisho Ten","Ten","Henri Mua Taisho","1989"
"NB1203.F53 2014","Fiber: Sculpture 1960-Present","Porter","Jenelle","2014"
"NB1203.M44 1974","Soft sculpture and other soft art forms, with stuffed fabrics, fibers, and plastics","Meilach","Dona Z.","1974"
"NB1208.M44 1970","Contemporary stone sculpture; aesthetics, methods, appreciation","Meilach","Dona","1970"
"NB1215.O47","Sculpting with cement : direct modeling in a permanent medium","Olson","Lynn","1985"
"NB1291.C43P9 1980z","Pylons : the Medical Center, West Virginia University","","","1980"
"NB16.C5R63 2002","Abstract sculpture by American artists, 1920-1950 : February 15-March 30, 2002","Robert henry Adams Fine Art","","2002"
"NB1856.C5L57","A Lithuanian cemetery : St. Casimir Lithuanian Cemetery in Chicago, Ill","","","1976"
"NB1952.E46H97 2017","Hysterical Material, The","Smart Museum of Art","","2017"
"NB198.6.C75 2006","CSI Bienale","","","2006"
"NB198.6.K72","Krasl Biennial Sculpture Invitational","","","2006"
"NB198.C65 2007","Sculpture Today","Collins","Judy","2007"
"NB198.G67 1993","The Sculptor's Eye: Looking at Contemporary American Art","Greenberg","Jan","1993"
"NB198.N373 1987","Nathan Manilow Sculpture Park","","","1987"
"NB198.N373 2001","Welcome to the Nathan Manilow Sculpture Park at Governor's State University","Henry","John","2001"
"NB198.T3","	Modern tendencies in sculpture","Taft","Lorado","1921"
"NB198.W3","Twentieth century sculpture; selections from the collection","Walker Art Center","","1969"
"NB205.N38","American sculpture; a catalogue of the collection of the Metropolitan Museum of Art","Gardner","Albert TenEyck","1965"
"NB205.T3 1930","History of American sculpture","Taft","Lorado","1930"
"NB212.A34 1983","The additive process","Migdal","Ruth","1983"
"NB212.K63 1986","Clay sculpture exhibition","Kochman","Alexandra","1986"
"NB212.N27","Contemporary American sculpture. The California palace of the Legion of honor, Lincoln park, San Francisco, April to October, MCMXXIX","National Sculpture Society","","1929"
"NB212.S48","Seven sculptors : structures by … on the Fine Arts Center Campus of DePaul University : [exhibition presented] October 1 thru November 30, 1978","","","1978"
"NB212.W37 1986","Contemporary American women sculptors","Watson-Jones","Virginia","1986"
"NB230.I3K7 1992","Sculpture in the park : a survey","Kravitt","Shirley Paperno","1992"
"NB230.I44M655 1991","Monuments and memorials : an exhibition of sculptures and drawings...State of Illinois Art Gallery, Chicago, November 19, 1990-January 4, 1991","","","1991"
"NB235.B66R673","Rosen Outdoor Sculpture Competition and Exhibtion (Rosen 18)","","","2004"
"NB235.C45B3 1983","A guide to Chicago's public sculpture","Bach","Ira","1983"
"NB235.C45C4 2008","Chicago Sculpture International Biennale 2008","","","2008"
"NB235.C45N5 2010","Ninth Annual Lakefront Sculpture Exhibit, 2010","","","2010"
"NB235.C45R53","Chicago sculpture","Riedy","James L.",""
"NB237.B57A2 1989","Memoirs of an American artist, sculptor, Richard W. Bock","Bock","Richard W.","1989"
"NB237.B68A55","The sculpture of John David Brcin; being a collection of work by the artist with photographic illustrations chiefly by August Carl Hoffmann","Brcin","John David","1967"
"NB237.D36A4 1963","Eldon Danhausen : sculptor","Danhausen","Eldon","1963"
"NB237.F64A4 1970","Constructions 1970","Florsheim","Lillian H.","1970"
"NB237.G436A4 1995","Embedded shadows : [exhibition] : October 13 - November 14, 1995","George","Herbert","1995"
"NB237.G53W45 1988","Greatness in the commonplace : the art of Boris Gilbertson","White","Charlotte","1988"
"NB237.G635N34 1997","Neil Goodman : sculpture since 1985","Goodman","Neil","1997"
"NB237.H57A4 1948","Sculpture by Horn","Horn","Milton","1948"
"NB237.H57A4 1989","Milton Horn, sculptor : 16 March-30 July 1989, Spertus Museum of Judaica, Chicago, Illinois","Horn","Milton","1989"
"NB237.H57A4 1996","Milton Horn, sculptor 1906-1995","Horn","Milton","1996"
"NB237.H79 1998","Richard Hunt : Affirmations","Hunt","Richard","1998"
"NB237.H79A4 1967","Richard Hunt : [exhibition, Milwaukee Art Center, November 3rd thru December 3rd, 1967","Hunt","Richard","1967"
"NB237.H79A4 1996","Richard Hunt : growing forward","Hunt","Richard","1996"
"NB237.H79N4","The sculpture of Richard Hunt","Museum of Modern Art (NY, NY)","","1971"
"NB237.J87A4 1985","Gary Justis, hyperfunctional icons : at the Chicago Public Library Cultural Center, March 30-May 25, 1985","Justis","Gary","1985"
"NB237.J8A44","For gardens and other places; the sculpture of Sylvia Shaw Judson","Haskins","Sylvia Shaw Judson","1967"
"NB237.K25A4 1995","Terrence Karpowicz","Karpowicz","Terrence","1995"
"NB237.K45V65","Voices from my childhood","Kenar","Jerzy S.","1994"
"NB237.K68A4 1994","Dennis Kowalski","Kowalski","Dennis","1998"
"NB237.L487W66 1998","Edmonia Lewis : wildfire in marble","Wolfe","Rinna Evelyn","1998"
"NB237.N413A4 1988","Dann Nardi/Anne Wilson : exhibition of recent works","Nardi","Dann","1988"
"NB237.P6S4","Carving his own destiny : the story of Albin Polasek","Sherwood","Ruth","1954"
"NB237.P84A4 1987","Martin Puryear : sculpture and works on paper","Puryear","Martin","1987"
"NB237.R35A4 1994","Charles Ray","Ferguson","Bruce W.","1994"
"NB237.S36A4 1960","Sculpture of Freeman Schoolcraft","Schoolcraft","Freeman","1960"
"NB237.S67A4 1986","John Storrs","Frackman","Noel","1986"
"NB237.T3T3","Lorado Taft, sculptor and citizen","Taft","Ada Bartlett","1948"
"NB237.W445A4 1981","	Margaret Wharton : Museum of Contemporary Art, Chicago, September 12-November 1, 1981","Wharton","Margaret","1981"
"NB238.N5A13 1996","3 generations of African American women sculptors : a study in paradox","","","1996"
"NB238.N5T73 1989","Traditions and transformations : contemporary Afro-American sculpture : February 21-May 27, 1989","","","1989"
"NB259.C384H47 2000","Elizabeth Catlett : an American artist in Mexico","Herzog","Melanie","2000"
"NB623.F47A4 1975","Ferrari","Ferrari","Virginio","1975"
"NB623.F47A4 1977","Virginio Ferrari : [exhibition September 7 through October 28, 1977]","Ferrari","Virginio","1977"
"NB623.F47A413","Virginio Ferrari : Istituto italiano di cultura - Chicago","","","1995"
"NC102.R414 1987","Recent developments in Latin American drawing : the Art Institute of Chicago, July 18 to September 27","Ruiz-Ram..n","Astrid","1987"
"NC105.P738 2004","American Art in the Princeton University Art Museum, Vol. I: Drawings and Watercolors","Wilmerding","John","2004"
"NC108.L495","USA Zeichnungen 3 : [Ausstellung] 15. Mai-29. Juni 1975, Stadtisches Museum Leverkusen, Schloss Morsbroich","Stadtisches Museum Leverkusen, Schloss Morsbroich","","1975"
"NC108.L54 1989","Lines of vision : drawings by contemporary women","","","1989"
"NC108.M57 1975","North, East, West, South, and Middle : an exhibition of contemporary American drawings by Rafael Ferrer …","Moore College of Art","","1975"
"NC108.R43 1987","Realism today : American drawings from the Rita Rich Collection","","","1987"
"NC1305.C48 2014","Outside the Box: Interviews with Contemporary Cartoonists","Chute","Hillary L.","2014"
"NC1305.P46 2007","U-X-L Graphic Novelists","Prendergast","Tom","2007"
"NC139.K37A4 1930","White on black : 20 new brush drawings","Katz","Raymond","1930"
"NC139.M24A4 1981","Notley Warren Maddox, October 16, 1943-June 16, 1980 : [exhibition] April 12 through 30, Dittmar Memorial Gallery, Northwestern University","Maddox","Notley Warren","1981"
"NC139.O43A42 1988x","The Palm Beach sketchbook","Olendorf","William","1988"
"NC139.P27L68 1995","Lawton Parker, 1868-1954 : works on paper","Love","Richard H.","1995"
"NC139.R28A4 1981","Twenty contemplations on the infant Jusus : an homage to Olivier Messiaen","Ramirez","Daniel P.","1981"
"NC139.R395A4 1991","The nudes of Jon Reich","Williams","Valerie J.","1991"
"NC139.S43A4 1984","Charles Sebree : a retrospective","Sebree","Charles","1984"
"NC1426.H54 2006","In the studio : visits with contemporary cartoonists","Hignite","Todd","2006"
"NC1427.C63O8","The art of the comic strip. With an introductory note by Don Denny","O'sullivan","Judith","1971"
"NC1428.B52 1987","Ends","Biancardi","Andrew","1987"
"NC1429.H588A4 1979","I'm in training to be tall and blonde","Hollander","Nicole","1979"
"NC1429.H588A4 1980","\"Ma, can I be a feminist and still like men?\"","Hollander","Nicole","1980"
"NC1429.H588A4 1981","That woman must be on drugs : a collection of Sylvia","Hollander","Nicole","1981"
"NC1429.H588A4 1982","\"Mercy, it's the revolution and I'm in my bathrobe\"","Hollander","Nicole","1982"
"NC1429.M224","John Mccutcheon's book","Mccutcheon","T (John Tinney)","1948"
"NC1429.W553","Among the folks in history","Williams","Gaar","1947"
"NC15.N41A65","Recent drawings : William Allan, James Bishop, Vija Celmins, Brice Marden, Jim Nutt, Alan Saret, Pat Steir, Richard Tuttle","American Federation of Arts","","1975"
"NC1764.5.U6A582 2008","An Anthology of Graphic Fiction, Cartoons, & True Stories. Vol. 2","","","2008"
"NC1764.5.U6D36 2009","Underground Classics: The Transformation of Comics into Comix","Danky","James","2009"
"NC1807.F7P3413 1970b","Paris 1900: masterworks ofFrench poster art","","","1970"
"NC1850.N44A4 1980","LeRoy Neiman posters : 29 events of our times","Neiman","LeRoy","1980"
"NC1882.7.J39F74 2009","Freedom, Rhythm & Sounds: Revolutionary Jazz Original Cover Art 1965-83","","","2009"
"NC269.A65A643","Boris Anisfeld : retrospective exhibition","Anisfeld","Boris Israelevich","1958"
"NC45.W3","Illustrators of books for young people","Ward","Martha Eads","1970"
"NC45.W3 1975","Illustrators of books for young people","Ward","Martha Eads","1975"
"NC593.S56 1971","Drawing as a way of thinking : a paper submitted in partial fulfillment of the requirements for the degree of master of arts in teaching","Skora","Patricia","1971"
"NC95.5.A2508 2000","Out of Line: Drawings by Illinois Artists","","","2008"
"NC96.V58 2013","Vitamin D2: New Perspectives in Drawing","","","2013"
"NC965.C5 1976","Illustrations in children's books","cianciolo","Patricia J.","1976"
"NC965.K54","Illustrators of children's books, 1957-1966","Kingman","Lee","1968"
"NC975.5.M667C66 1964","Connie Moran, pixie","","","1964"
"NC975.5.P48A94 1997","Petty : the classic pin-up art of George Petty","Austin","Reid","1997"
"NC975.R4 2001","The illustrator in America, 1860-2000","Reed","Walt","2001"
"NC997.C627 2009","1000 Ideas by 100 Graphic Designers","Cossu","Matteo","2009"
"NC998.4.R4 1989","Nine pioneers in American graphic design","Remington","R. Roger","1989"
"NC999.4.B43R46 1996","Lester Beall : trailblazer of American graphic design","Remington","R. Roger","1996"
"ND1049.Z46A4 1995","Zhou Brothers : Holz- und Farbholzschnitte 1990-1994","","","1995"
"ND1049.Z46N67 1993","Zhou brothers","Nordland","Gerald","1994"
"ND1049.Z48A4 1989","Zhou Brothers : a retrospective","","","1989"
"ND1049.Z48G76 1995","Zhou Bros in the studio : a photographic essay","Gross","Steven E.","1995"
"ND1059.I82A4 1987","Michiko Itatani : paintings : January 17-March 15, 1987, Rockford Art Museum","Itatani","Michiko","1987"
"ND1150.Z3","The art of the artist; theories and techniques of art by the artists themselves","Zaidenberg","Arthur","1951"
"ND1245.C5J32","Art Of Today, Chicago, 1933","Jacobson"," J. Z.","1932"
"ND1311.3.D5","Directory of American Portrait Artists","American Portrait Society","","1985"
"ND1311.V36","American self-portraits, 1670-1973","Van Devanter","Ann C.","1974"
"ND1351.5.F38 1994","Paintings of the Southwest","Skolnick","Arnold","1994"
"ND1383.E85H36 1998b","Modern Wildlife Painting","Hammond","Nicholas","1998"
"ND1431.6H37 1967","Hardy : Feb. 8 - March 26, 1967","Hardy","Gerald","1967"
"ND1500.P6 1962","Is your contemporary painting more temporary than you think? : Vital technical information for the present-day artist","Pomerantz","Louis","1962"
"ND1731.C47 1996","Drawing/watercolor : Illinois : eleventh biennial exhibition, December 7, 1996-January 19, 1997","","","1996"
"ND1835.I3W37","Watercolor : Illinois : ... biennial exhibition","","",""
"ND1839.K44A4 1981","The Dallas Museum of Natural History presents a retrospective exhibition","Kelley","Chapman","1981"
"ND196.C8E33 1914","Cubists and post-impressionism","Eddy","Arthur Jerome","1914"
"ND201.A53 1992","America 500: Discovery and rediscovery of America : Centro Cultural Recoleta, Buenos Aires, Argentina, 4 al 24 de Agosto de 1992 : 1492-1992","","","1992"
"ND205.B29","American painting, history and interpretation","Barker","Virgil","1960"
"ND205.B6","Modern American painting. With 86 illustrations in full color selected from the series on contemporary American artists published in Life","Boswell","Peyton","1939"
"ND205.B8 1965","Limners and likenesses; three centuries of American painting","Burroughs","Alan","1936"
"ND205.I7 1927","History of American painting","Isham","Samuel","1927"
"ND205.T5","Three hundred years of American painting","Eliot","Alexander","1957"
"ND205.U52 1962","Art in the Union League Club","Union League Club of Chicago","","1962"
"ND2070.W35A4 1997","Old principles new horizons","Wang","Ruby","1997"
"ND210.N366","Romantic painting in America","Thrall","James","1943"
"ND212.5.A25P57","Fresh air school; exhibition of paintings, 1972/73: Sam Francis, Joan Mitchell, Walasse Ting","Carnegie Institute. Museum of Art","",""
"ND212.5.A2A24 1994","Abney Gallery group theme exhibitions, inter-active computer database : theme-abstract explorations","","","1994"
"ND212.5.R4A76 1980","Aspects of realism","","","1980"
"ND212.5.S57H5 1983","Social concern and urban realism : American painting of the 1930s","Hills","Patricia","1983"
"ND212.7.L93 2006","Intimations of the Future: 18th Anniversary Exhibition: September 8-October 18, 2006","Lydon Fine Art","","2006"
"ND212.A1I4","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1961"
"ND212.A1I4 1952","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1952"
"ND212.A1I4 1955","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1955"
"ND212.A1I4 1961","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1961"
"ND212.A1I4 1969","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1969"
"ND212.A1I4 1974","Exhibition of contemporary American painting and sculpture","University of Illinois…","","1974"
"ND212.B28","The American scene: American painting of the 1930's","Baigell","Matthew","1974"
"ND212.B38","New art in America: fifty painters of the 20th century","Baur","John I. H.","1957"
"ND212.C45","American artists paint the city : exhibition……xxviiith biennale, Venice, 1956","","","1956"
"ND212.C658 2003","Coming home : American paintings, 1930/1950, from the Schoen collection","","","2003"
"ND212.D43 1989","Decay : a tribute to Ivan Albright: January 27-March 12, 1989","","","1989"
"ND212.G36","American painting in the twentieth century","Geldzahler","Henry","1965"
"ND212.I52 1997","The Imaginary city : St. Mark's Church in-the-Bowery, November 8-December 12, 1997","","","1997"
"ND212.N3678 2000 no. 29","New American Paintings, Book 29","","","2000"
"ND212.N3678 no. 41","New American Paintings, Book 41","","","2002"
"ND212.N6","Art: USA: now","Nordness","Lee","1963"
"ND212.N8","Jim Nutt. An exhibition organized by Museum of Contemporary Art, Chicago, March 9 through April 28, 1974","Nutt","Jim","1974"
"ND212.W27 2009","1934: A New Deal For Artists","Wagner","Ann Prentice","2009"
"ND212.W55 1991","Women by women : images of women by female artists : [exhibition] October/November 1991, R.H. Love Galleries, Chicago","","","1991"
